pathway	external_id	source	hgnc_symbol_ids
IGF1R signaling cascade	R-HSA-2428924	Reactome	PRKAG1,NRAS,PRKAG3,SPTB,SPRED1,SPRED2,SPRED3,AKT1,AKT2,ARAF,RAPGEF2,RASAL1,RASAL3,RASAL2,EGF,EEF2K,PEBP1,CALM2,DLG4,CALM1,PIK3CA,PIK3CB,NF1,PIK3R4,GRIN1,FGFR1,FGA,FGB,CUL3,ERBB2,ERBB3,IGF1R,STK11,SHC1,SHC2,SHC3,CAMK2D,CAMK2G,CAMK2A,CAMK2B,NRG1,LAMTOR1,FGFR4,PIK3C3,FGFR2,FGFR3,KRAS,CAB39L,SOS1,FN1,PPP2CA,PHB,PTPN11,PPP2CB,AKAP9,CSF2,KIT,PPP2R5B,UBA52,GRB2,UBB,UBC,LAT,RBX1,TLR9,STRADA,STRADB,CSF2RB,RASGRP3,CSF2RA,APBB1IP,RASGRP4,RRAGD,SPTAN1,HRAS,RPS27A,ITGB3,FRS3,FRS2,TRIB3,ERBB4,KBTBD7,THEM4,KLB,PPM1A,TSC2,AKT1S1,JAK2,JAK3,PIK3R1,JAK1,KSR1,KSR2,ANGPT1,EREG,IGF2,FGG,RASGEF1A,IGF1,PRKAB2,CSK,PRKAB1,FGF7,FGF9,FGF8,EIF4E,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,CALM3,PPP5C,GAB1,EIF4EBP1,PRKAG2,BTC,PPP2R5D,PPP2R5E,VWF,IL17RD,FGF22,PPP2R5A,FGF20,LAMTOR3,PDGFRB,PDGFRA,TLN1,RPS6KB1,RAP1B,RAP1A,SPTA1,RPS6,RASGRP1,ARRB2,DUSP10,ARRB1,CNKSR2,RAF1,NCAM1,TSC1,TEK,MAPK3,ITGA2B,CNKSR1,PDE3B,HBEGF,FGF19,MAPK1,DUSP9,DUSP8,MARK3,DUSP5,DUSP4,DUSP7,FGF10,FGF17,FGF16,DUSP2,SRC,IL5RA,PAQR3,DAB2IP,MTOR,MLST8,IL2RA,IL2RB,DUSP6,RASGRF1,RASGRF2,IL2RG,IRS4,DUSP1,IRS1,IRS2,KL,IL5,IL2,IL3,RHEB,PIK3R2,PPP2R1A,PPP2R1B,PTK2,CAB39,EGFR,PRKAA2,PRKAA1,MAP2K2,MAP2K1,WDR83,SPTBN5,SPTBN4,IQGAP1,SPTBN1,RPTOR,EIF4G1,MAP3K11,NEFL,FYN,SPTBN2,PEA15,PDPK1,YWHAB,FGF18,NRG3,NRG2,NRG4,BRAF,PDGFA,PDGFB,RRAGA,GRIN2D,RRAGC,RRAGB,VCL,SYNGAP1,LAMTOR4,LAMTOR5,RASA4,DUSP16,RASA1,RASA2,RASA3,ACTN2,BRAP,KITLG,FGF23,GRIN2B,GRIN2C,GRIN2A,LAMTOR2,PTPRA,IL3RA,PPP2R5C,EIF4B
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	R-HSA-2404192	Reactome	PRKAG1,NRAS,PRKAG3,SPTB,SPRED1,SPRED2,SPRED3,AKT1,AKT2,ARAF,RAPGEF2,RASAL1,RASAL3,RASAL2,EGF,EEF2K,PEBP1,CALM2,DLG4,CALM1,PIK3CA,PIK3CB,NF1,PIK3R4,GRIN1,FGFR1,FGA,FGB,CUL3,ERBB2,ERBB3,IGF1R,STK11,SHC1,SHC2,SHC3,CAMK2D,CAMK2G,CAMK2A,CAMK2B,NRG1,LAMTOR1,FGFR4,PIK3C3,FGFR2,FGFR3,KRAS,CAB39L,SOS1,FN1,PPP2CA,PHB,PTPN11,PPP2CB,AKAP9,CSF2,KIT,PPP2R5B,UBA52,GRB2,UBB,UBC,LAT,RBX1,TLR9,STRADA,STRADB,CSF2RB,RASGRP3,CSF2RA,APBB1IP,RASGRP4,RRAGD,SPTAN1,HRAS,RPS27A,ITGB3,FRS3,FRS2,TRIB3,ERBB4,KBTBD7,THEM4,KLB,PPM1A,TSC2,AKT1S1,JAK2,JAK3,PIK3R1,JAK1,KSR1,KSR2,ANGPT1,EREG,IGF2,FGG,RASGEF1A,IGF1,PRKAB2,CSK,PRKAB1,FGF7,FGF9,FGF8,EIF4E,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,CALM3,PPP5C,GAB1,EIF4EBP1,PRKAG2,BTC,PPP2R5D,PPP2R5E,VWF,IL17RD,FGF22,PPP2R5A,FGF20,LAMTOR3,PDGFRB,PDGFRA,TLN1,RPS6KB1,RAP1B,RAP1A,SPTA1,RPS6,RASGRP1,ARRB2,DUSP10,ARRB1,CNKSR2,RAF1,NCAM1,TSC1,TEK,MAPK3,ITGA2B,CNKSR1,PDE3B,HBEGF,FGF19,MAPK1,DUSP9,DUSP8,MARK3,DUSP5,DUSP4,DUSP7,FGF10,FGF17,FGF16,DUSP2,SRC,IL5RA,PAQR3,DAB2IP,MTOR,MLST8,IL2RA,IL2RB,DUSP6,RASGRF1,RASGRF2,IL2RG,IRS4,DUSP1,IRS1,IRS2,KL,IL5,IL2,IL3,RHEB,PIK3R2,PPP2R1A,PPP2R1B,PTK2,CAB39,EGFR,PRKAA2,PRKAA1,MAP2K2,MAP2K1,WDR83,SPTBN5,SPTBN4,IQGAP1,SPTBN1,RPTOR,EIF4G1,MAP3K11,NEFL,FYN,SPTBN2,PEA15,PDPK1,YWHAB,FGF18,NRG3,NRG2,NRG4,BRAF,PDGFA,PDGFB,RRAGA,GRIN2D,RRAGC,RRAGB,VCL,SYNGAP1,LAMTOR4,LAMTOR5,RASA4,DUSP16,RASA1,RASA2,RASA3,ACTN2,BRAP,KITLG,FGF23,GRIN2B,GRIN2C,GRIN2A,LAMTOR2,PTPRA,IL3RA,PPP2R5C,EIF4B
Antagonism of Activin by Follistatin	R-HSA-2473224	Reactome	INHBA,INHBB,FST,FSTL3
TGFBR1 KD Mutants in Cancer	R-HSA-3656532	Reactome	TGFB1,TGFBR2,TGFBR1,FKBP1A
Loss of Function of TGFBR1 in Cancer	R-HSA-3656534	Reactome	TGFB1,TGFBR2,TGFBR1,FKBP1A
Signaling by TGF-beta Receptor Complex in Cancer	R-HSA-3304351	Reactome	TGFB1,TGFBR1,TGFBR2,SMAD2,SMAD3,ZFYVE9,FKBP1A
Signaling by TGF-beta Receptor Complex	R-HSA-170834	Reactome	HDAC1,TGFB1,SMAD4,SMAD7,MEN1,SMAD2,SMAD3,ZFYVE9,USP9X,CCNT1,CCNT2,SKI,NCOR2,NCOR1,FURIN,NEDD8,SMURF2,PPM1A,CGN,STUB1,PARD6A,STRAP,XPO1,TRIM33,RNF111,MTMR4,TGFBR2,TGFBR1,RPS27A,RBL1,ARHGEF18,SP1,ATP1B4,UBC,PARP1,PMEPA1,BAMBI,E2F4,SKIL,USP15,UCHL5,UBE2M,RHOA,FKBP1A,PARD3,F11R,E2F5,SNW1,PPP1CB,PPP1CC,PPP1CA,WWTR1,SMURF1,CBL,TGIF2,PPP1R15A,NEDD4L,UBA52,PRKCZ,TGIF1,UBB,CCNC,CDK8,CDK9,TFDP2,TFDP1
Laminin interactions	R-HSA-3000157	Reactome	ITGA1,ITGA2,ITGA3,ITGA6,ITGA7,LAMB1,LAMB3,LAMB2,ITGB4,NID2,NID1,ITGB1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,COL18A1,LAMC2,LAMC3,LAMC1,ITGAV,HSPG2
CREB phosphorylation	R-HSA-199920	Reactome	RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,CREB1,ATF1,MAPKAPK2
Constitutive Signaling by NOTCH1 PEST Domain Mutants	R-HSA-2644606	Reactome	HDAC1,HDAC3,HDAC2,HDAC5,HDAC4,HDAC7,HDAC6,HDAC9,HDAC8,RPS27A,KAT2B,KAT2A,NCSTN,ADAM10,ADAM17,PSENEN,NCOR2,NCOR1,NEURL1B,APH1B,HEYL,MAML2,MAML3,MAML1,PSEN2,RBPJ,MIB1,MIB2,NEURL1,UBA52,JAG2,MYC,JAG1,UBC,APH1A,DLL1,DLL4,HDAC10,EP300,HEY2,HEY1,SNW1,TBL1X,TBL1XR1,NOTCH1,CDK8,MAMLD1,UBB,CCNC,HDAC11,HES1,HES5,CREBBP
Signaling by NOTCH1 PEST Domain Mutants in Cancer	R-HSA-2644602	Reactome	HDAC1,HDAC3,HDAC2,HDAC5,HDAC4,HDAC7,HDAC6,HDAC9,HDAC8,RPS27A,KAT2B,KAT2A,NCSTN,ADAM10,ADAM17,PSENEN,NCOR2,NCOR1,NEURL1B,APH1B,HEYL,MAML2,MAML3,MAML1,PSEN2,RBPJ,MIB1,MIB2,NEURL1,UBA52,JAG2,MYC,JAG1,UBC,APH1A,DLL1,DLL4,HDAC10,EP300,HEY2,HEY1,SNW1,TBL1X,TBL1XR1,NOTCH1,CDK8,MAMLD1,UBB,CCNC,HDAC11,HES1,HES5,CREBBP
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	R-HSA-2894858	Reactome	HDAC1,HDAC3,HDAC2,HDAC5,HDAC4,HDAC7,HDAC6,HDAC9,HDAC8,RPS27A,KAT2B,KAT2A,NCSTN,ADAM10,ADAM17,PSENEN,NCOR2,NCOR1,NEURL1B,APH1B,HEYL,MAML2,MAML3,MAML1,PSEN2,RBPJ,MIB1,MIB2,NEURL1,UBA52,JAG2,MYC,JAG1,UBC,APH1A,DLL1,DLL4,HDAC10,EP300,HEY2,HEY1,SNW1,TBL1X,TBL1XR1,NOTCH1,CDK8,MAMLD1,UBB,CCNC,HDAC11,HES1,HES5,CREBBP
Signaling by NOTCH1 in Cancer	R-HSA-2644603	Reactome	HDAC1,HDAC3,HDAC2,HDAC5,HDAC4,HDAC7,HDAC6,HDAC9,HDAC8,RPS27A,KAT2B,KAT2A,NCSTN,ADAM10,ADAM17,PSENEN,NCOR2,NCOR1,NEURL1B,APH1B,HEYL,MAML2,MAML3,MAML1,PSEN2,RBPJ,MIB1,MIB2,NEURL1,UBA52,JAG2,MYC,JAG1,UBC,APH1A,DLL1,DLL4,HDAC10,EP300,HEY2,HEY1,SNW1,TBL1X,TBL1XR1,NOTCH1,CDK8,MAMLD1,UBB,CCNC,HDAC11,HES1,HES5,CREBBP
Beta-oxidation of very long chain fatty acids	R-HSA-390247	Reactome	CRAT,ACOX1,ACAA1,ACOT8,ABCD1,HSD17B4
guanine and guanosine salvage	PWY-6620	HumanCyc	PNP,HPRT1
ABC transporter disorders	R-HSA-5619084	Reactome	CFTR
Disorders of transmembrane transporters	R-HSA-5619115	Reactome	CFTR
Recognition and association of DNA glycosylase with site containing an affected purine	R-HSA-110330	Reactome	MUTYH,MPG,OGG1
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7184	HumanCyc	NME4,NME5,NME6,NME7,NME1,NME2,NME3,NME1-NME2,NTPCR,TYMS,RRM2B,RRM2,RRM1,DTYMK,DUT,NME2P1
O-glycosylation of TSR domain-containing proteins	R-HSA-5173214	Reactome	SSPO,SPON2,THBS2,ADAMTS3,SBSPON,ADAMTS10,ADAMTS13,ADAMTS12,ADAMTS15,ADAMTS14,ADAMTS17,ADAMTS16,ADAMTS19,ADAMTS18,ADAMTSL2,POFUT2,ADAMTS5,ADAMTS4,ADAMTS7,ADAMTS6,ADAMTS1,ADAMTSL4,ADAMTSL5,ADAMTS9,ADAMTS8,THBS1,B3GLCT,THSD7B,SPON1,ADAMTSL3,THSD4,THSD1,THSD7A,ADAMTS20,SEMA5B,SEMA5A,ADAMTS2,ADAMTSL1,CFP
SMAD2/3 Phosphorylation Motif Mutants in Cancer	R-HSA-3304356	Reactome	TGFB1,TGFBR1,TGFBR2,SMAD2,SMAD3,ZFYVE9
Disease	R-HSA-1643685	Reactome	HIST1H4C,HIST1H4B,HIST1H4A,FGFR1OP2,HIST1H4F,HIST1H4E,HIST1H4D,HIST1H4K,HIST1H4J,HIST1H4I,NELFA,NELFE,B2M,NCBP1,NCBP2,PIK3CA,PIK3CB,PIK3CD,MIB1,MIB2,NELFB,SV2A,SV2C,SV2B,PIK3R2,ZMYM2,HIST1H4H,NUP98,NUP93,HIST1H4L,SNAP25,GTF2F1,GTF2F2,TSG101,ATP6V1D,ATP6V1F,ATP6V1A,CDKN1B,CDKN1A,RPS27A,ATP6V1H,AK6,MYO18A,FEN1,TAF1L,XPO1,GTF2B,H3F3B,H3F3A,VTA1,CHUK,CUX1,HIST2H3D,HIST2H3C,HIST2H3A,HCK,POLR2E,PSIP1,POLR2D,POLR2G,CBL,TCIRG1,POLR2F,SUPT5H,HES1,HES5,CD19,HIST1H2BB,NUP133,FGF8,NAPEPLD,SMAD2,SMAD3,TAF13,TAF12,TAF11,TAF10,POLR2L,TSC2,FGF5,NEURL1B,FGF4,FGF3,ARF1,FGF2,FGF1,HIST1H2BK,CHMP4C,TCEA1,FGF23,LTF,ATP6V0D2,FOXO3,ALK,GTF2H2C,APOBEC3G,APOBEC3F,ATP6V1E1,FOXO1,ATP6V1E2,BANF1,ERBB2,CHMP4A,CHMP4B,MAP2K4,EGFR,BAD,AP1S1,AP1S2,AP1S3,CPSF6,CPSF4,HIST2H4B,HIST2H4A,VPS28,CXCR4,JAG2,ATP6V1B1,ATP6V1B2,JAG1,IDH1,RNMT,NOS1,NOS2,NOS3,BTC,TNKS,KPNB1,FGFR1OP,SLC25A5,SNW1,TBL1X,CALR,BTRC,NUP35,NUP37,ATP6V0E1,ATP6V0E2,EEF2,AAAS,HDAC3,FGFR4,RARA,NUP188,RAN,POLR2C,NMT2,NMT1,APCS,KITLG,SYT1,SYT2,PLCG1,UBA52,ELMO1,PAK2,NUP88,VCP,NUP85,NCSTN,RNGTT,AP2B1,GTF2E1,GTF2E2,SLC11A1,DERL2,TNKS2,HDAC10,SHH,TBP,ATP6V0A4,ATP6V0A1,ATP6V0A2,CREBBP,HDAC1,PDGFRB,PDGFRA,HDAC2,HDAC5,HDAC4,HDAC7,HDAC6,HDAC9,HDAC8,HIST1H2BH,AP2M1,POLR2H,NUP62,SKP1,PSEN2,RPS6KB2,AP1M2,RANBP1,RANBP2,ATP6V0B,TGFBR2,TGFBR1,NUP107,DLL1,MTOR,EP300,LRRFIP1,NELFCD,IRS1,IRS2,KL,CDK7,CDK8,TAF9B,TGFB1,ATP6V0C,TCEB3,TCEB2,ERCC2,ERCC3,AP1M1,CD247,GTF2A1,GTF2A2,DLL4,FYN,AP1B1,RAC1,SUPT16H,NR4A1,HIST1H3B,HIST1H3C,HIST1H3A,HIST1H3F,HIST1H3G,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3H,HIST1H3I,HIST2H2AC,VAMP1,VAMP2,NOTCH1,ATP6V1C2,CNTRL,VPS37B,CCNT1,CCNT2,FURIN,CALM2,CALM3,CALM1,TAF4B,NUP214,CUL5,ATP6V0D1,NUP210,H2BFS,ERBB3,SHC1,ERBB4,TRIM24,ERLEC1,SLC25A6,CREB1,SLC25A4,HIST3H2BB,NUPL2,MDM2,FGFR2,FGFR3,FGFR1,ZFYVE9,PTPN11,KIT,CHMP2A,KPNA1,FKBP1A,HDAC11,RBX1,SEH1L,DOCK2,HRAS,HSPG2,GAB2,KAT2B,KAT2A,GAB1,RICTOR,XRCC5,XRCC4,XRCC6,AP2S1,MAML2,MAML3,MAML1,VPS37D,VPS37C,PPIAP22,VPS37A,EGF,POM121,FGF7,CDK9,ATP6V1G3,ATP6V1G2,ATP6V1G1,FGF22,LCK,FGF20,STX1A,STX1B,CTDP1,CD4,CCR5,CHMP3,CHMP7,CD9,CHMP5,APH1B,APH1A,STAT3,STAT1,CD80,CD86,HBEGF,HIST2H2AA3,HIST2H2AA4,TCEB1,VPS4A,VPS4B,CD8B,PORCN,NUP50,TBL1XR1,NUP54,NUP58,EREG,PPIA,ANTXR1,ANTXR2,ADAM17,MAP2K3,MAP2K2,MAP2K1,MAP2K7,MAP2K6,HIST2H2BE,FOXO4,TCEA1P2,HIST4H4,FRS2,MAPKAP1,ATP6V1C1,NRG1,NRG3,NRG2,NRG4,CASP9,TPR,CHMP2B,AKT1,AKT2,AKT3,CANX,RBPJ,H2AFB1,LIG4,LIG1,MYC,CD28,RANGAP1,RAE1,KRAS,H2AFX,H2AFZ,GSK3B,SUPT4H1,GRB2,UBB,CCNC,CCNH,CFTR,NUP205,GSK3A,HLA-A,PDGFB,CLTA,PSENEN,MAMLD1,HIST1H2BC,CHMP6,AKT1S1,PIK3R3,BCR,PIK3R1,EIF2AK2,GTF2H1,OS9,UBC,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,POLR2A,HIST1H2BA,FGF9,POLR2B,HIST1H2BL,FGF6,HIST1H2BN,HIST1H2BO,POLR2I,HIST1H2BI,POLR2K,POLR2J,TAF6,TAF5,TAF4,TAF3,TAF2,TAF1,VAV1,AP1G1,HIST1H2BM,TAF9,NUP153,CYBA,NUP155,AP2A1,IPO5,NCF2,NCF1,NCF4,AP2A2,CDC37,NCOR2,NCOR1,HEYL,SYVN1,NEURL1,FGF19,FGF18,FGF10,FGF17,FGF16,SEL1L,CYBB,ELL,HMGA1,MNAT1,MLST8,HEY2,HEY1,SOS1,STAT5B,STAT5A,HSP90AA1,HIST1H2BJ,SSRP1,ADAM10,HSPA1B,HSPA1A,HIST1H2AK,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST1H2AC,HIST1H2AB,TRAT1,NRAS,NUP43,PDGFA,PABPN1,KLB,GTF2H3,GTF2H2,NUP160,GTF2H5,GTF2H4,NPM1,PACS1,RCC1,PDCD6IP,NEDD4L,PDPK1
nicotine degradation III	PWY66-221	HumanCyc	AOX1,CYP2G1P,CYP2S1,UGT2B10,UGT2B11,UGT1A4,UGT1A6,CYP4X1,CYP2U1,CYP2A6
Activation of the AP-1 family of transcription factors	R-HSA-450341	Reactome	FOS,JUN,MAPK14,MAPK3,MAPK1,MAPK10,MAPK11,MAPK8,MAPK9,ATF2
MAPK targets/ Nuclear events mediated by MAP kinases	R-HSA-450282	Reactome	PPP2R1A,PPP2R1B,MAPK14,MAPK10,MAPK11,MAPKAPK2,JUN,MAPK3,MAPK1,MAPK7,DUSP4,DUSP7,MAPK9,DUSP3,FOS,CREB1,MAPK8,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,PPP2CA,DUSP6,PPP2CB,MEF2C,MEF2A,ELK1,PPP2R5D,ATF1,ATF2
MAP kinase activation in TLR cascade	R-HSA-450294	Reactome	PPP2R1A,PPP2R1B,DUSP6,MAP2K3,MAP2K1,RIPK2,MAPK10,IKBKG,MAP2K4,MAPKAPK3,MAPKAPK2,MAPK9,MAP3K8,JUN,MAP3K7,MAPK11,MAPK3,MAPK1,NOD1,MAPK7,NOD2,IRAK2,DUSP4,MAPK8,IRAK1,DUSP3,TRAF6,FOS,MAP2K6,CREB1,DUSP7,RPS6KA1,MAPK14,RPS6KA2,RPS6KA3,RPS6KA5,TAB3,TAB2,TAB1,PPP2CB,MEF2C,PPP2CA,MEF2A,ELK1,PPP2R5D,MAP2K7,ATF1,ATF2
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	R-HSA-975138	Reactome	PPP2R1A,PPP2R1B,NFKBIB,DUSP6,HMGB1,IRAK4,AGER,SAA1,TMEM189-UBE2V1,MAP2K3,MAP2K1,RIPK2,MAPK10,IKBKG,MAP2K4,S100A12,MAPKAPK3,MAPKAPK2,MAPK14,S100B,MAPK9,MAP3K8,PELI1,PELI3,PELI2,MAP3K1,JUN,MAP3K7,MAPK11,MAPK3,MAPK1,NOD1,MAPK7,NOD2,IRAK2,NFKB1,TMEM189,IRAK1,DUSP3,MAPK8,DHX9,NFKBIA,TRAF6,FOS,MAP2K6,NFKB2,DUSP7,CHUK,CREB1,RPS6KA3,ECSIT,DUSP4,UBE2V1,RELA,RPS6KA1,IKBKB,RPS6KA2,MYD88,RPS6KA5,UBE2N,TAB3,TAB2,TAB1,PPP2CB,UBE2NL,MEF2C,PPP2CA,MEF2A,ELK1,TLR7,PPP2R5D,MAP2K7,TLR8,TLR9,ATF1,APP,ATF2
Signaling by activated point mutants of FGFR3	R-HSA-1839130	Reactome	FGF16,FGFR3,FGF23,FGF20,FGF9,FGF8,FGF18,FGF5,FGF4,FGF17,FGF2,FGF1
Hypusine synthesis from eIF5A-lysine	R-HSA-204626	Reactome	EIF5A2,DHPS,EIF5A,DOHH
Recycling of eIF2:GDP	R-HSA-72731	Reactome	EIF2B4,EIF2B5,EIF2B2,EIF2B3,EIF2B1,EIF2S1,EIF2S3,EIF2S2
Cap-dependent Translation Initiation	R-HSA-72737	Reactome	RPL21P16,RPL22,EIF3H,EIF3I,EIF3J,EIF3K,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,RPS26,RPLP1,EIF3CL,RPLP0,RPL18A,RPL35A,RPL14,RPL15,RPL17,RPL10,RPL11,RPL12,RPL13,RPL18,RPL19,RPL36AP37,EIF4G1,UBA52,RPL37A,RPL8,RPL9,RPL6,PABPC1,RPL27A,RPS27A,RPL3,EIF5B,RPL7A,RPL41,RPL10A,RPS28P7,EIF4H,RPL39P3,EIF4E,EIF4B,EIF4EBP1,RPL17-C18orf32,RPSAP58,EIF4A1,EIF4A2,RPLP2,EIF2B4,EIF2B5,EIF2B2,EIF2B3,RPS15A,EIF2B1,RPS7,RPS6,RPS5,RPS3,RPS2,RPS17,RPS9,RPS8,RPS28P4,RPS4Y1,RPS15,RPL13A,RPL7,RPL4,RPL36A,RPS27,RPS24,RPS25,RPS23,RPS20,RPS21,RPS28,RPS29,RPS4X,EIF1AX,RPSA,RPS3A,RPS13,RPS12,RPS11,RPS10,RPL5,RPS16,RPL23A,RPS14,RPS19,RPS18,EIF5,RPL3L,EIF2S1,EIF2S3,EIF2S2,RPL29,RPL28,RPL24,RPL27,RPL26,RPL21,RPL23,FAU,RPS26P25,EIF1AXP1,RPS26P20,RPL26L1,RPL38,RPL39,RPL36,RPL37,RPL34,RPL35,RPL32,RPL30,RPL31,RPL23AP42
dTMP <i>de novo</i> biosynthesis (mitochondrial)	PWY66-385	HumanCyc	DHFR,TYMS,SHMT2,SHMT1,DHFRL1
t(4;14) translocations of FGFR3	R-HSA-2033515	Reactome	FGFR3
FGFR3 mutant receptor activation	R-HSA-2033514	Reactome	FGF16,FGFR3,FGF23,FGF20,FGF9,FGF8,FGF18,FGF5,FGF4,FGF17,FGF2,FGF1
Fructose metabolism	R-HSA-5652084	Reactome	SORD,AKR1B1,KHK,TKFC,ALDOB
Cleavage of the damaged purine	R-HSA-110331	Reactome	MUTYH,MPG,OGG1
Depurination	R-HSA-73927	Reactome	MUTYH,MPG,OGG1
SMAD2/3 MH2 Domain Mutants in Cancer	R-HSA-3315487	Reactome	TGFB1,TGFBR1,TGFBR2,SMAD2,SMAD3,ZFYVE9
Loss of Function of SMAD2/3 in Cancer	R-HSA-3304349	Reactome	TGFB1,TGFBR1,TGFBR2,SMAD2,SMAD3,ZFYVE9
Loss of Function of TGFBR2 in Cancer	R-HSA-3642278	Reactome	TGFB1,TGFBR2,TGFBR1,FKBP1A
Glycine, serine, alanine and threonine metabolism	Glycine, serine, alanine and threonine metabolism	EHMN	NUP88,SARS2,NUP58,NUP133,CKB,SLC7A6,NUP35,SLC6A8,SLC7A2,NUP85,CKMT1B,SLC7A1,DMGDH,GCAT,NUP37,AGXT,SLC38A2,NAGS,PIPOX,NUP62,GATM,GLDC,DAO,SLC7A3,ALAS2,SLC36A1,NUP43,NUP188,ALAS1,PDPR,NUP214,SLC6A12,AARS2,NUP210,AMT,RANBP2,SLC38A5,SLC38A4,SLC22A5,TARS2,SLC38A1,NUP155,SLC38A3,DLD,NUP160,NUP93,CKMT1A,LDHD,SLC5A7,SLC16A1,NUPL2,SLC1A5,SLC15A2,CHDH,NUP98,SLC43A2,SLC43A1,SLC16A8,NUP50,NUP210L,NUP54,CKMT2,GLOD4,SLC16A3,NUP62CL,SLC7A10,SLC16A7,NUP153,SLC3A2,NUP107,SARDH,GLYAT,AOC1,SLC1A4,HAO1,HAO2,SLC6A14,NUP205
NAD salvage	NAD-BIOSYNTHESIS-III	HumanCyc	NMNAT2,NMNAT3,NMNAT1,NAMPT
mRNA 3,-end processing	R-HSA-72187	Reactome	NCBP1,NCBP2,DHX38,SRSF11,CPSF7,NUDT21,CPSF3,CPSF2,CPSF1,SRSF5,NFX1,SRSF7,SRSF6,SRSF1,RBM8A,SRSF3,UPF3B,U2AF1,U2AF2,SRSF9,PCF11,MAGOH,PABPN1,RNPS1,SRSF4,ALYREF,U2AF1L5,PAPOLA,CLP1,SRSF2,CSTF1,CSTF3,CSTF2,SRRM1,CDC40
CD209 (DC-SIGN) signaling	R-HSA-5621575	Reactome	PRKACA,CREBBP,EP300,RPS6KA5,HRAS,NRAS,NFKB1,CD209,PRKACG,ICAM3,ICAM2,PRKACB,RELB,RELA,KRAS,RAF1,PAK1,PAK2,PAK3
Ghrelin	Pathway_Ghrelin	NetPath	GHRL,NFKBIA,PRKAA2,AKT1,ARRB2,MC3R,ARRB1,RICTOR,GNAI2,RAF1,FYN,AP2M1,MAPK3,DOK1,HTR2C,RELA,GPR83,MAPK1,SRC,NOS3,ACACA,PIK3R1,PRKCA,PRKCB,PRKCE,PRKCD,CREB1,PPARG,PRKCQ,GHSR,GNAQ,GRB2,GSK3A,IRS1,DRD1,CAMKK2,ELK1,SSTR5,PDPK1
NADH repair	PWY-6938	HumanCyc	APOA1BP,GAPDH,CARKD
O-linked glycosylation of mucins	R-HSA-913709	Reactome	ST3GAL3,GALNT7,ST6GAL1,B3GNTL1,B3GNT6,GALNT4,MUC20,MUC21,MUC16,KCNA6,MUC5B,GALNT6,GCNT3,MUC3A,GCNT4,GCNT7,GCNT6,GCNT1,B3GNT2,B3GNT3,MUC13,B3GNT8,B3GNT9,GALNT1,MUC5AC,C1GALT1,B3GNT5,B3GNT4,ST6GALNAC2,B4GALT5,B4GALT6,GALNTL5,ST3GAL2,ST3GAL1,GALNTL6,POC1B-GALNT4,WBSCR17,ST3GAL4,MUC2,MUC1,MUC7,MUC6,MUC4,MUC3B,GALNT8,GALNT9,MUC19,MUC17,GALNT5,MUC15,ST6GALNAC4,ST6GALNAC3,MUC12,GALNT2,GALNT3,GALNT16,GALNT14,GALNT15,GALNT12,GALNT13,GALNT10,GALNT11,C1GALT1C1,MUCL1,GALNT18,B3GNT7
O-linked glycosylation	R-HSA-5173105	Reactome	SSPO,B3GNTL1,MUC17,MUC20,MUC21,B3GNT4,B3GNT5,B3GNT6,ADAMTS6,ADAMTS1,ADAMTS3,ADAMTS2,B3GNT8,ADAMTS8,MUC2,MUC1,MUC7,MUC6,MUC4,MUC19,ADAMTS20,MUC16,MUC15,MUC13,MUC12,GALNT10,B3GLCT,SPON2,ST3GAL1,KCNA6,ADAMTS18,ADAMTSL2,ADAMTSL3,ADAMTSL1,ADAMTSL4,ADAMTSL5,THBS2,THBS1,B4GALT5,B4GALT6,ADAMTS5,ADAMTS4,THSD4,ADAMTS7,THSD1,B3GNT7,GALNT8,GALNT9,GALNT4,GALNT5,GALNT6,GALNT7,GALNT1,GALNT2,GALNT3,B3GNT2,SEMA5A,B3GNT3,ADAMTS9,B3GNT9,ADAMTS10,ADAMTS13,ADAMTS12,ADAMTS15,ADAMTS14,ADAMTS17,ADAMTS16,ADAMTS19,MUC5B,POFUT2,THSD7B,THSD7A,GALNTL5,GALNTL6,WBSCR17,MUC5AC,SEMA5B,GALNT16,GALNT14,GALNT15,GALNT12,GALNT13,POC1B-GALNT4,GALNT11,C1GALT1C1,MUCL1,GALNT18,ST6GAL1,SBSPON,MUC3A,GCNT4,GCNT7,GCNT6,GCNT1,GCNT3,C1GALT1,ST3GAL3,ST3GAL2,SPON1,ST3GAL4,MUC3B,ST6GALNAC4,ST6GALNAC3,ST6GALNAC2,CFP
